trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A103-A1738-3-16-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-2-22-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-2-12-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1737-3-25-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1738-1-6-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1737-3-11-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1738-1-22-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A77-A1725-1-17-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77120602448631,A1725,0,0
A103-A1738-2-14-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-2-20-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-3-4-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A77-A2546-5-2-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77520602448631,A2546,0,0
A103-A1738-1-2-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-1-4-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A77-A1725-6-11-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77620602448631,A1725,0,0
A103-A1738-3-12-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-3-18-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A77-A1725-3-17-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77320602448631,A1725,0,0
A9-A4257-2-5-268767471,A9,268767471,ЗООПАРКА,,,A92268767471,A4257,0,0
A103-A1738-2-10-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-2-2-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-2-6-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-1-12-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-2-4-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-1-18-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-1-16-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-1-8-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-1-14-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A224-A4230-2-3-3256270690,A224,3256270690,"Ж.К. ЛЮЛИН-1,2",,,A22423256270690,A4230,0,0
A103-A1738-2-24-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-3-6-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-3-10-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-3-14-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A224-A4229-2-2-3256270690,A224,3256270690,Ж.К. МЛАДОСТ-4,,,A22423256270690,A4229,0,0
A103-A1738-2-18-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A224-A4230-2-3-3256270691,A224,3256270691,"Ж.К. ЛЮЛИН-1,2",,,A22423256270691,A4230,0,0
A103-A1738-3-20-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A36-A1428-1-15-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-1-23-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-2-6-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-1-20-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-2-21-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-1-14-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-2-20-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-2-4-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-2-24-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-2-7-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-2-8-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-2-27-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-1-18-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A103-A1737-1-21-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-3-5-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-2-5-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-2-25-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-3-13-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-1-13-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-2-11-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-2-9-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-2-7-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-3-23-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-3-19-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-1-3-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-1-17-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-1-9-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A36-A1427-2-14-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-1-7-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-2-30-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-1-4-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-2-18-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-2-22-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-2-26-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-1-19-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A224-A4229-2-4-3256270690,A224,3256270690,Ж.К. МЛАДОСТ-4,,,A22423256270690,A4229,0,0
A36-A1426-2-16-24113152890,A36,24113152890,МК КРЕМИКОВЦИ,,,,A1426,0,0
A36-A1428-2-11-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-2-23-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-2-31-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A103-A1738-2-8-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A36-A1427-2-12-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1426-1-10-24113152890,A36,24113152890,МК КРЕМИКОВЦИ,,,,A1426,0,0
A36-A1428-1-3-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-1-12-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A103-A1738-2-16-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A36-A1427-1-16-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-2-10-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-1-9-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-1-29-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-2-28-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-2-5-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-2-9-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1281-2-17-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1281,0,0
A36-A1427-1-2-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-1-17-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-2-19-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-1-5-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-1-6-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-2-29-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-1-25-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1281-1-11-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1281,0,0
A36-A1427-1-28-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-2-3-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-2-2-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1428-1-21-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-2-13-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-1-13-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-1-27-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-2-15-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1428-2-25-24113152890,A36,24113152890,АВТОСТАНЦИЯ ИЗТОК,,,,A1428,0,0
A36-A1427-1-22-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-1-24-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-1-26-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A36-A1427-1-8-24113152890,A36,24113152890,СУПЕРМАРКЕТ,,,,A1427,0,0
A103-A1738-3-2-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-1-20-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-3-8-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-3-22-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-3-24-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1738-1-10-18006829490,A103,18006829490,ПЛОДОХРАНИЛИЩЕ,,,,A1738,0,0
A103-A1737-1-11-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-2-21-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A103-A1737-2-19-18006829490,A103,18006829490,Ж.К. ОБЕЛЯ-1,,,,A1737,0,0
A77-A1725-6-7-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77620602448631,A1725,0,0
A77-A1725-5-18-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77520602448631,A1725,0,0
A77-A1725-1-13-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77120602448631,A1725,0,0
A224-A4230-1-2-3256270691,A224,3256270691,"Ж.К. ЛЮЛИН-1,2",,,A22413256270691,A4230,0,0
A224-A4229-2-4-3256270691,A224,3256270691,Ж.К. МЛАДОСТ-4,,,A22423256270691,A4229,0,0
A77-A1725-2-22-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77220602448631,A1725,0,0
A224-A4229-1-3-3256270690,A224,3256270690,Ж.К. МЛАДОСТ-4,,,A22413256270690,A4229,0,0
A224-A4230-1-4-3256270691,A224,3256270691,"Ж.К. ЛЮЛИН-1,2",,,A22413256270691,A4230,0,0
A224-A4229-2-6-3256270690,A224,3256270690,Ж.К. МЛАДОСТ-4,,,A22423256270690,A4229,0,0
A77-A1725-5-10-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77520602448631,A1725,0,0
A77-A3578-2-21-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77220602448631,A3578,0,0
A77-A3578-6-8-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77620602448631,A3578,0,0
A77-A3578-3-10-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77320602448631,A3578,0,0
A224-A4229-1-5-3256270691,A224,3256270691,Ж.К. МЛАДОСТ-4,,,A22413256270691,A4229,0,0
A224-A4229-2-2-3256270691,A224,3256270691,Ж.К. МЛАДОСТ-4,,,A22423256270691,A4229,0,0
A224-A4230-1-4-3256270690,A224,3256270690,"Ж.К. ЛЮЛИН-1,2",,,A22413256270690,A4230,0,0
A77-A3578-6-14-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77620602448631,A3578,0,0
A77-A3578-3-12-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77320602448631,A3578,0,0
A77-A3578-3-16-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77320602448631,A3578,0,0
A77-A1725-6-17-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77620602448631,A1725,0,0
A224-A4230-1-2-3256270690,A224,3256270690,"Ж.К. ЛЮЛИН-1,2",,,A22413256270690,A4230,0,0
A224-A4230-2-5-3256270691,A224,3256270691,"Ж.К. ЛЮЛИН-1,2",,,A22423256270691,A4230,0,0
A77-A1725-1-3-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77120602448631,A1725,0,0
A77-A1725-2-14-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77220602448631,A1725,0,0
A77-A3578-2-13-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77220602448631,A3578,0,0
A77-A1725-2-12-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77220602448631,A1725,0,0
A77-A1725-2-20-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77220602448631,A1725,0,0
A77-A3578-2-23-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77220602448631,A3578,0,0
A77-A3578-5-17-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77520602448631,A3578,0,0
A77-A2544-6-27-20602448631,A77,20602448631,МЕТРОСТАНЦИЯ Г. М. ДИМИТРОВ,,,A77620602448631,A2544,0,0
A77-A3578-2-15-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77220602448631,A3578,0,0
A77-A3578-3-8-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77320602448631,A3578,0,0
A77-A3578-2-9-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77220602448631,A3578,0,0
A77-A3578-4-5-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77420602448631,A3578,0,0
A77-A3578-6-20-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77620602448631,A3578,0,0
A77-A1725-2-18-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77220602448631,A1725,0,0
A77-A3578-6-26-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77620602448631,A3578,0,0
A57-A140-5-2-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5756039780360,A140,0,0
A77-A3578-5-19-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77520602448631,A3578,0,0
A77-A1725-3-19-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77320602448631,A1725,0,0
A77-A1725-4-14-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77420602448631,A1725,0,0
A77-A1725-4-26-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77420602448631,A1725,0,0
A77-A3578-4-17-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77420602448631,A3578,0,0
A77-A3578-6-16-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77620602448631,A3578,0,0
A77-A3578-5-5-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77520602448631,A3578,0,0
A77-A3578-5-7-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77520602448631,A3578,0,0
A60-A191-6-8-5134671501,A60,5134671501,Ж.К. ЛЮЛИН-5,,,A6065134671501,A191,0,0
A77-A3578-2-25-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77220602448631,A3578,0,0
A60-A191-6-24-5134671501,A60,5134671501,Ж.К. ЛЮЛИН-5,,,A6065134671501,A191,0,0
A60-A3725-7-21-5134671501,A60,5134671501,ПЛ. СТОЧНА ГАРА,,,A6075134671501,A3725,0,0
A77-A1725-5-14-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77520602448631,A1725,0,0
A77-A3578-5-11-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77520602448631,A3578,0,0
A77-A3578-1-22-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77120602448631,A3578,0,0
A77-A1725-4-6-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77420602448631,A1725,0,0
A77-A1725-2-24-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77220602448631,A1725,0,0
A60-A3725-5-17-5134671501,A60,5134671501,ПЛ. СТОЧНА ГАРА,,,A6055134671501,A3725,0,0
A60-A3725-1-9-5134671501,A60,5134671501,ПЛ. СТОЧНА ГАРА,,,A6015134671501,A3725,0,0
A77-A1725-3-13-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77320602448631,A1725,0,0
A77-A1725-3-11-20602448631,A77,20602448631,СЕМИНАРИЯТА,,,A77320602448631,A1725,0,0
A57-A141-3-7-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5736039780360,A141,0,0
A77-A3578-4-7-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77420602448631,A3578,0,0
A105-A3614-3-8-21539890271,A105,21539890271,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,,,A105321539890271,A3614,0,0
A105-A3614-5-18-21539890271,A105,21539890271,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,,,A105521539890271,A3614,0,0
A60-A191-7-2-5134671501,A60,5134671501,Ж.К. ЛЮЛИН-5,,,A6075134671501,A191,0,0
A57-A141-1-11-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5716039780360,A141,0,0
A57-A140-3-22-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5736039780360,A140,0,0
A57-A140-4-24-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5746039780360,A140,0,0
A77-A3578-3-20-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77320602448631,A3578,0,0
A105-A3461-2-17-21539890271,A105,21539890271,МЕТРОСТАНЦИЯ МИЗИЯ,,,A105221539890271,A3461,0,0
A105-A3614-1-8-21539890271,A105,21539890271,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,,,A105121539890271,A3614,0,0
A105-A3461-5-7-21539890271,A105,21539890271,МЕТРОСТАНЦИЯ МИЗИЯ,,,A105521539890271,A3461,0,0
A105-A3614-3-10-21539890271,A105,21539890271,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,,,A105321539890271,A3614,0,0
A57-A140-5-18-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5756039780360,A140,0,0
A57-A140-4-14-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5746039780360,A140,0,0
A57-A141-1-17-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5716039780360,A141,0,0
A105-A3461-5-19-21539890271,A105,21539890271,МЕТРОСТАНЦИЯ МИЗИЯ,,,A105521539890271,A3461,0,0
A60-A190-5-25-5134671501,A60,5134671501,ПЛ. СТОЧНА ГАРА,,,A6055134671501,A190,0,0
A60-A3725-6-15-5134671501,A60,5134671501,ПЛ. СТОЧНА ГАРА,,,A6065134671501,A3725,0,0
A60-A3725-7-3-5134671501,A60,5134671501,ПЛ. СТОЧНА ГАРА,,,A6075134671501,A3725,0,0
A105-A4086-2-19-21539890271,A105,21539890271,МЕТРОСТАНЦИЯ МИЗИЯ,,,A105221539890271,A4086,0,0
A77-A2545-1-24-20602448631,A77,20602448631,Ж.К. ДИАНАБАД,,,A77120602448631,A2545,0,0
A105-A3614-4-18-21539890271,A105,21539890271,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,,,A105421539890271,A3614,0,0
A105-A3461-5-5-21539890271,A105,21539890271,МЕТРОСТАНЦИЯ МИЗИЯ,,,A105521539890271,A3461,0,0
A105-A3461-1-13-21539890271,A105,21539890271,МЕТРОСТАНЦИЯ МИЗИЯ,,,A105121539890271,A3461,0,0
A57-A140-5-28-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5756039780360,A140,0,0
A57-A140-3-24-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5736039780360,A140,0,0
A57-A290-5-29-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5756039780360,A290,0,0
A105-A3461-1-5-21539890271,A105,21539890271,МЕТРОСТАНЦИЯ МИЗИЯ,,,A105121539890271,A3461,0,0
A105-A3614-4-8-21539890271,A105,21539890271,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,,,A105421539890271,A3614,0,0
A57-A141-2-15-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5726039780360,A141,0,0
A77-A3578-2-17-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77220602448631,A3578,0,0
A77-A3578-4-9-20602448631,A77,20602448631,КВ. СИМЕОНОВО,,,A77420602448631,A3578,0,0
A60-A191-2-12-5134671501,A60,5134671501,Ж.К. ЛЮЛИН-5,,,A6025134671501,A191,0,0
A105-A3461-2-9-21539890271,A105,21539890271,МЕТРОСТАНЦИЯ МИЗИЯ,,,A105221539890271,A3461,0,0
A57-A140-2-14-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5726039780360,A140,0,0
A57-A140-4-20-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5746039780360,A140,0,0
A105-A3614-4-12-21539890271,A105,21539890271,С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА,,,A105421539890271,A3614,0,0
A60-A3725-4-13-5134671501,A60,5134671501,ПЛ. СТОЧНА ГАРА,,,A6045134671501,A3725,0,0
A57-A141-3-13-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5736039780360,A141,0,0
A57-A141-3-9-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5736039780360,A141,0,0
A57-A141-3-15-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5736039780360,A141,0,0
A57-A141-4-21-6039780360,A57,6039780360,СУ СВ.КЛИМЕНТ ОХРИДСКИ,,,A5746039780360,A141,0,0
A57-A140-2-26-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5726039780360,A140,0,0
A57-A140-4-18-6039780360,A57,6039780360,СТУДЕНТСКИ ГРАД,,,A5746039780360,A140,0,0
